Decimal,Hexadecimal,Binary,Instr group bits,Source bits,Dest Bits,ALU op bits,ALU arg bits,Op Group,Source,Destination,ALU Op,ALU Arg,Op Code,Usage,Notes
000,00,00000000,00,000,000,,,Copy,ACC,ACC,,,JUMP_IF_ZERO_FLAG,JUMP_IF_ZERO_FLAG CONST,
001,01,00000001,00,000,001,,,Copy,ACC,A,,,COPY,COPY ACC A,
002,02,00000010,00,000,010,,,Copy,ACC,B,,,COPY,COPY ACC B,
003,03,00000011,00,000,011,,,Copy,ACC,C,,,COPY,COPY ACC C,
004,04,00000100,00,000,100,,,Copy,ACC,SP,,,COPY,COPY ACC SP,
005,05,00000101,00,000,101,,,Copy,ACC,PC,,,JUMP,JUMP ACC,
006,06,00000110,00,000,110,,,Copy,ACC,SP+/-,,,,,No sense in comparing ACC to ACC
007,07,00000111,00,000,111,,,Copy,ACC,CONST,,,JUMP_IF_EQ_ACC,JUMP_IF_EQ_ACC CONST CONST,Original slot (00111111) used by JUMP_IF_NOT_UNDERFLOW_FLAG
008,08,00001000,00,001,000,,,Copy,A,ACC,,,COPY,COPY A ACC,
009,09,00001001,00,001,001,,,Copy,A,A,,,JUMP_IF_NOT_ZERO_FLAG,JUMP_IF_NOT_ZERO_FLAG CONST,
010,0A,00001010,00,001,010,,,Copy,A,B,,,COPY,COPY A B,
011,0B,00001011,00,001,011,,,Copy,A,C,,,COPY,COPY A C,
012,0C,00001100,00,001,100,,,Copy,A,SP,,,COPY,COPY A SP,
013,0D,00001101,00,001,101,,,Copy,A,PC,,,JUMP,JUMP A,
014,0E,00001110,00,001,110,,,Copy,A,SP+/-,,,JUMP_IF_LTE_ACC,JUMP_IF_LTE_ACC A CONST,
015,0F,00001111,00,001,111,,,Copy,A,CONST,,,JUMP_IF_EQ_ACC,JUMP_IF_EQ_ACC A CONST,
016,10,00010000,00,010,000,,,Copy,B,ACC,,,COPY,COPY B ACC,
017,11,00010001,00,010,001,,,Copy,B,A,,,COPY,COPY B A,
018,12,00010010,00,010,010,,,Copy,B,B,,,JUMP_IF_POSITIVE_FLAG,JUMP_IF_POSITIVE_FLAG CONST,
019,13,00010011,00,010,011,,,Copy,B,C,,,COPY,COPY B C,
020,14,00010100,00,010,100,,,Copy,B,SP,,,COPY,COPY B SP,
021,15,00010101,00,010,101,,,Copy,B,PC,,,JUMP,JUMP B,
022,16,00010110,00,010,110,,,Copy,B,SP+/-,,,JUMP_IF_LTE_ACC,JUMP_IF_LTE_ACC B CONST,
023,17,00010111,00,010,111,,,Copy,B,CONST,,,JUMP_IF_EQ_ACC,JUMP_IF_EQ_ACC B CONST,
024,18,00011000,00,011,000,,,Copy,C,ACC,,,COPY,COPY C ACC,
025,19,00011001,00,011,001,,,Copy,C,A,,,COPY,COPY C A,
026,1A,00011010,00,011,010,,,Copy,C,B,,,COPY,COPY C B,
027,1B,00011011,00,011,011,,,Copy,C,C,,,JUMP_IF_NEGATIVE_FLAG,JUMP_IF_NEGATIVE_FLAG CONST,
028,1C,00011100,00,011,100,,,Copy,C,SP,,,COPY,COPY C SP,
029,1D,00011101,00,011,101,,,Copy,C,PC,,,JUMP,JUMP C,
030,1E,00011110,00,011,110,,,Copy,C,SP+/-,,,JUMP_IF_LTE_ACC,JUMP_IF_LTE_ACC C CONST,
031,1F,00011111,00,011,111,,,Copy,C,CONST,,,JUMP_IF_EQ_ACC,JUMP_IF_EQ_ACC C CONST,
032,20,00100000,00,100,000,,,Copy,SP,ACC,,,COPY,COPY SP ACC,
033,21,00100001,00,100,001,,,Copy,SP,A,,,COPY,COPY SP A,
034,22,00100010,00,100,010,,,Copy,SP,B,,,COPY,COPY SP B,
035,23,00100011,00,100,011,,,Copy,SP,C,,,COPY,COPY SP C,
036,24,00100100,00,100,100,,,Copy,SP,SP,,,JUMP_IF_OVERFLOW_FLAG,JUMP_IF_OVERFLOW_FLAG CONST,
