Decimal,Binary,Op group bits,Source bits,Dest Bits,ALU op bits,ALU arg bits,Op Group,Source,Destination,ALU Op,ALU Arg,Op Code,Usage,Notes
000,00000000,00,000,000,,,Copy,ACC,ACC,,,JUMP_IF_ZERO_FLAG,JUMP_IF_ZERO_FLAG CONST,
001,00000001,00,000,001,,,Copy,ACC,A,,,COPY,COPY ACC A,
002,00000010,00,000,010,,,Copy,ACC,B,,,COPY,COPY ACC B,
003,00000011,00,000,011,,,Copy,ACC,C,,,COPY,COPY ACC C,
004,00000100,00,000,100,,,Copy,ACC,SP,,,COPY,COPY ACC SP,
005,00000101,00,000,101,,,Copy,ACC,PC,,,JUMP,JUMP ACC,
006,00000110,00,000,110,,,Copy,ACC,SP+/-,,,,,No sense in comparing ACC to ACC
007,00000111,00,000,111,,,Copy,ACC,CONST,,,JUMP_IF_EQ_ACC,JUMP_IF_EQ_ACC CONST,Original slot (00111111) used by JUMP_IF_NOT_UNDERFLOW_FLAG
008,00001000,00,001,000,,,Copy,A,ACC,,,COPY,COPY A ACC,
009,00001001,00,001,001,,,Copy,A,A,,,JUMP_IF_NOT_ZERO_FLAG,JUMP_IF_NOT_ZERO_FLAG CONST,
010,00001010,00,001,010,,,Copy,A,B,,,COPY,COPY A B,
011,00001011,00,001,011,,,Copy,A,C,,,COPY,COPY A C,
012,00001100,00,001,100,,,Copy,A,SP,,,COPY,COPY A SP,
013,00001101,00,001,101,,,Copy,A,PC,,,JUMP,JUMP A,
014,00001110,00,001,110,,,Copy,A,SP+/-,,,JUMP_IF_LTE_ACC,JUMP_IF_LTE_ACC A,
015,00001111,00,001,111,,,Copy,A,CONST,,,JUMP_IF_EQ_ACC,JUMP_IF_EQ_ACC A,
016,00010000,00,010,000,,,Copy,B,ACC,,,COPY,COPY B ACC,
017,00010001,00,010,001,,,Copy,B,A,,,COPY,COPY B A,
018,00010010,00,010,010,,,Copy,B,B,,,JUMP_IF_POSITIVE_FLAG,JUMP_IF_POSITIVE_FLAG CONST,
019,00010011,00,010,011,,,Copy,B,C,,,COPY,COPY B C,
020,00010100,00,010,100,,,Copy,B,SP,,,COPY,COPY B SP,
021,00010101,00,010,101,,,Copy,B,PC,,,JUMP,JUMP B,
022,00010110,00,010,110,,,Copy,B,SP+/-,,,JUMP_IF_LTE_ACC,JUMP_IF_LTE_ACC B,
023,00010111,00,010,111,,,Copy,B,CONST,,,JUMP_IF_EQ_ACC,JUMP_IF_EQ_ACC B,
024,00011000,00,011,000,,,Copy,C,ACC,,,COPY,COPY C ACC,
025,00011001,00,011,001,,,Copy,C,A,,,COPY,COPY C A,
026,00011010,00,011,010,,,Copy,C,B,,,COPY,COPY C B,
027,00011011,00,011,011,,,Copy,C,C,,,JUMP_IF_NEGATIVE_FLAG,JUMP_IF_NEGATIVE_FLAG CONST,
028,00011100,00,011,100,,,Copy,C,SP,,,COPY,COPY C SP,
029,00011101,00,011,101,,,Copy,C,PC,,,JUMP,JUMP C,
030,00011110,00,011,110,,,Copy,C,SP+/-,,,JUMP_IF_LTE_ACC,JUMP_IF_LTE_ACC C,
031,00011111,00,011,111,,,Copy,C,CONST,,,JUMP_IF_EQ_ACC,JUMP_IF_EQ_ACC C,
032,00100000,00,100,000,,,Copy,SP,ACC,,,COPY,COPY SP ACC,
033,00100001,00,100,001,,,Copy,SP,A,,,COPY,COPY SP A,
034,00100010,00,100,010,,,Copy,SP,B,,,COPY,COPY SP B,
035,00100011,00,100,011,,,Copy,SP,C,,,COPY,COPY SP C,
036,00100100,00,100,100,,,Copy,SP,SP,,,JUMP_IF_OVERFLOW_FLAG,JUMP_IF_OVERFLOW_FLAG CONST,
037,00100101,00,100,101,,,Copy,SP,PC,,,JUMP,JUMP SP,
038,00100110,00,100,110,,,Copy,SP,SP+/-,,,JUMP_IF_LTE_ACC,JUMP_IF_LTE_ACC SP,
039,00100111,00,100,111,,,Copy,SP,CONST,,,JUMP_IF_EQ_ACC,JUMP_IF_EQ_ACC SP,
040,00101000,00,101,000,,,Copy,PC,ACC,,,COPY,COPY PC ACC,
041,00101001,00,101,001,,,Copy,PC,A,,,COPY,COPY PC A,
042,00101010,00,101,010,,,Copy,PC,B,,,COPY,COPY PC B,
043,00101011,00,101,011,,,Copy,PC,C,,,COPY,COPY PC C,
044,00101100,00,101,100,,,Copy,PC,SP,,,COPY,COPY PC SP,
045,00101101,00,101,101,,,Copy,PC,PC,,,JUMP_IF_NOT_OVERFLOW_FLAG,JUMP_IF_NOT_OVERFLOW_FLAG CONST,
046,00101110,00,101,110,,,Copy,PC,SP+/-,,,JUMP_IF_LTE_ACC,JUMP_IF_LTE_ACC PC,
047,00101111,00,101,111,,,Copy,PC,CONST,,,JUMP_IF_EQ_ACC,JUMP_IF_EQ_ACC PC,
048,00110000,00,110,000,,,Copy,SP+/-,ACC,,,,,No sense in comparing ACC to ACC
049,00110001,00,110,001,,,Copy,SP+/-,A,,,JUMP_IF_LT_ACC,JUMP_IF_LT_ACC A,
050,00110010,00,110,010,,,Copy,SP+/-,B,,,JUMP_IF_LT_ACC,JUMP_IF_LT_ACC B,
051,00110011,00,110,011,,,Copy,SP+/-,C,,,JUMP_IF_LT_ACC,JUMP_IF_LT_ACC C,
052,00110100,00,110,100,,,Copy,SP+/-,SP,,,JUMP_IF_LT_ACC,JUMP_IF_LT_ACC SP,
053,00110101,00,110,101,,,Copy,SP+/-,PC,,,JUMP_IF_LT_ACC,JUMP_IF_LT_ACC PC,
054,00110110,00,110,110,,,Copy,SP+/-,SP+/-,,,JUMP_IF_UNDERFLOW_FLAG,JUMP_IF_UNDERFLOW_FLAG CONST,
055,00110111,00,110,111,,,Copy,SP+/-,CONST,,,JUMP_IF_LT_ACC,JUMP_IF_LT_ACC CONST,
056,00111000,00,111,000,,,Copy,CONST,ACC,,,SET,SET ACC CONST,
057,00111001,00,111,001,,,Copy,CONST,A,,,SET,SET A CONST,
058,00111010,00,111,010,,,Copy,CONST,B,,,SET,SET B CONST,
059,00111011,00,111,011,,,Copy,CONST,C,,,SET,SET C CONST,
060,00111100,00,111,100,,,Copy,CONST,SP,,,SET,SET SP CONST,
061,00111101,00,111,101,,,Copy,CONST,PC,,,JUMP,JUMP CONST,
062,00111110,00,111,110,,,Copy,CONST,SP+/-,,,JUMP_IF_LTE_ACC,JUMP_IF_LTE_ACC CONST,
063,00111111,00,111,111,,,Copy,CONST,CONST,,,JUMP_IF_NOT_UNDERFLOW_FLAG,JUMP_IF_NOT_UNDERFLOW_FLAG CONST,
064,01000000,01,000,000,,,Load,ACC,ACC,,,LOAD,LOAD [ACC] ACC,
065,01000001,01,000,001,,,Load,ACC,A,,,LOAD,LOAD [ACC] A,
066,01000010,01,000,010,,,Load,ACC,B,,,LOAD,LOAD [ACC] B,
067,01000011,01,000,011,,,Load,ACC,C,,,LOAD,LOAD [ACC] C,
068,01000100,01,000,100,,,Load,ACC,SP,,,,,No sense in comparing ACC to ACC
